,Site,Pol_sp,Plant_sp,Links
460,crotodtai,D_platura,Cordyline_sp,1
461,crotodtai,L_sordidum,Cordyline_sp,0
462,crotodtai,A_mellifera,Eucalyptus_nitens,0
463,crotodtai,D_platura,Eucalyptus_nitens,1
464,crotodtai,L_sordidum,Eucalyptus_nitens,0
465,crotodtai,A_mellifera,Lolium_sp,1
466,crotodtai,D_platura,Lolium_sp,1
467,crotodtai,L_sordidum,Lolium_sp,0
468,crotodtai,A_mellifera,Raphanus_sp,0
469,crotodtai,D_platura,Raphanus_sp,1
470,crotodtai,L_sordidum,Raphanus_sp,0
471,daiburnam,A_mellifera,Cirsium_vulgare,0
472,daiburnam,P_marginata,Cirsium_vulgare,0
473,daiburnam,P_pseudorudis,Cirsium_vulgare,1
474,daiburnam,A_mellifera,Lolium_sp,0
475,daiburnam,P_marginata,Lolium_sp,1
476,daiburnam,P_pseudorudis,Lolium_sp,0
477,daiburnam,A_mellifera,Taraxacum_officinale,1
478,daiburnam,P_marginata,Taraxacum_officinale,0
479,daiburnam,P_pseudorudis,Taraxacum_officinale,0
480,daigidtai,A_mellifera,Cirsium_vulgare,0
481,daigidtai,D_platura,Cirsium_vulgare,0
482,daigidtai,L_sordidum,Cirsium_vulgare,0
483,daigidtai,O_atrovirens,Cirsium_vulgare,1
484,daigidtai,O_varia,Cirsium_vulgare,0
485,daigidtai,P_marginata,Cirsium_vulgare,0
486,daigidtai,P_pseudorudis,Cirsium_vulgare,0
487,daigidtai,T_orthodoxus,Cirsium_vulgare,0
488,daigidtai,A_mellifera,Cordyline_sp,2
489,daigidtai,D_platura,Cordyline_sp,0
490,daigidtai,L_sordidum,Cordyline_sp,0
491,daigidtai,O_atrovirens,Cordyline_sp,0
492,daigidtai,O_varia,Cordyline_sp,0
493,daigidtai,P_marginata,Cordyline_sp,0
494,daigidtai,P_pseudorudis,Cordyline_sp,0
495,daigidtai,T_orthodoxus,Cordyline_sp,0
496,daigidtai,A_mellifera,Eucalyptus_globulus,3
497,daigidtai,D_platura,Eucalyptus_globulus,0
498,daigidtai,L_sordidum,Eucalyptus_globulus,0
499,daigidtai,O_atrovirens,Eucalyptus_globulus,0
500,daigidtai,O_varia,Eucalyptus_globulus,0
501,daigidtai,P_marginata,Eucalyptus_globulus,0
502,daigidtai,P_pseudorudis,Eucalyptus_globulus,0
503,daigidtai,T_orthodoxus,Eucalyptus_globulus,0
504,daigidtai,A_mellifera,Lolium_sp,0
505,daigidtai,D_platura,Lolium_sp,1
506,daigidtai,L_sordidum,Lolium_sp,1
507,daigidtai,O_atrovirens,Lolium_sp,0
508,daigidtai,O_varia,Lolium_sp,1
509,daigidtai,P_marginata,Lolium_sp,1
510,daigidtai,P_pseudorudis,Lolium_sp,0
511,daigidtai,T_orthodoxus,Lolium_sp,2
512,daigidtai,A_mellifera,Raphanus_sp,0
513,daigidtai,D_platura,Raphanus_sp,0
514,daigidtai,L_sordidum,Raphanus_sp,0
515,daigidtai,O_atrovirens,Raphanus_sp,0
516,daigidtai,O_varia,Raphanus_sp,0
517,daigidtai,P_marginata,Raphanus_sp,0
518,daigidtai,P_pseudorudis,Raphanus_sp,1
519,daigidtai,T_orthodoxus,Raphanus_sp,0
520,daigidtai,A_mellifera,Rubus_fruticosus,1
521,daigidtai,D_platura,Rubus_fruticosus,0
522,daigidtai,L_sordidum,Rubus_fruticosus,0
