"","Site","Pol_sp","Plant_sp","Links"
"390",9,"O.varia","Lolium_sp",1
"391",9,"B.terrestris","Rubus_fruticosus",1
"392",9,"O.varia","Rubus_fruticosus",0
"393",9,"B.terrestris","Taraxacum_officinale",1
"394",9,"O.varia","Taraxacum_officinale",0
"395",9,"B.terrestris","Trifolium_sp",1
"396",9,"O.varia","Trifolium_sp",0
"397",10,"A.mellifera","Cirsium_vulgare",1
"398",10,"L.sordidum","Cirsium_vulgare",1
"399",10,"A.mellifera","Eucalyptus_globulus",2
"400",10,"L.sordidum","Eucalyptus_globulus",0
"401",10,"A.mellifera","Eucalyptus_nitens",1
"402",10,"L.sordidum","Eucalyptus_nitens",0
"403",10,"A.mellifera","Lolium_sp",3
"404",10,"L.sordidum","Lolium_sp",2
"405",10,"A.mellifera","Raphanus_sp",1
"406",10,"L.sordidum","Raphanus_sp",1
"407",10,"A.mellifera","Taraxacum_officinale",1
"408",10,"L.sordidum","Taraxacum_officinale",2
"409",10,"A.mellifera","Trifolium_sp",2
"410",10,"L.sordidum","Trifolium_sp",2
"411",11,"A.mellifera","alnus_serrulate",0
"412",11,"D.platura","alnus_serrulate",1
"413",11,"L.sordidum","alnus_serrulate",0
"414",11,"P.marginata","alnus_serrulate",0
"415",11,"P.pseudorudis","alnus_serrulate",0
"416",11,"A.mellifera","Cirsium_vulgare",0
"417",11,"D.platura","Cirsium_vulgare",1
"418",11,"L.sordidum","Cirsium_vulgare",0
"419",11,"P.marginata","Cirsium_vulgare",0
"420",11,"P.pseudorudis","Cirsium_vulgare",0
"421",11,"A.mellifera","Daucus_carota",1
"422",11,"D.platura","Daucus_carota",2
"423",11,"L.sordidum","Daucus_carota",2
"424",11,"P.marginata","Daucus_carota",1
"425",11,"P.pseudorudis","Daucus_carota",1
"426",11,"A.mellifera","Eucalyptus_nitens",3
"427",11,"D.platura","Eucalyptus_nitens",0
"428",11,"L.sordidum","Eucalyptus_nitens",1
"429",11,"P.marginata","Eucalyptus_nitens",0
"430",11,"P.pseudorudis","Eucalyptus_nitens",0
"431",11,"A.mellifera","Lolium_sp",0
"432",11,"D.platura","Lolium_sp",1
"433",11,"L.sordidum","Lolium_sp",0
"434",11,"P.marginata","Lolium_sp",0
"435",11,"P.pseudorudis","Lolium_sp",0
"436",11,"A.mellifera","Raphanus_sp",1
"437",11,"D.platura","Raphanus_sp",1
"438",11,"L.sordidum","Raphanus_sp",0
"439",11,"P.marginata","Raphanus_sp",0
"440",11,"P.pseudorudis","Raphanus_sp",0
"441",11,"A.mellifera","Rubus_fruticosus",1
"442",11,"D.platura","Rubus_fruticosus",0
"443",11,"L.sordidum","Rubus_fruticosus",0
"444",11,"P.marginata","Rubus_fruticosus",0
"445",11,"P.pseudorudis","Rubus_fruticosus",0
"446",11,"A.mellifera","Taraxacum_officinale",3
"447",11,"D.platura","Taraxacum_officinale",1
"448",11,"L.sordidum","Taraxacum_officinale",2
"449",11,"P.marginata","Taraxacum_officinale",0
"450",11,"P.pseudorudis","Taraxacum_officinale",0
"451",11,"A.mellifera","Trifolium_sp",6
"452",11,"D.platura","Trifolium_sp",0
"453",11,"L.sordidum","Trifolium_sp",1
"454",11,"P.marginata","Trifolium_sp",0
"455",11,"P.pseudorudis","Trifolium_sp",0
"456",12,"A.mellifera","Cirsium_vulgare",1
"457",12,"D.platura","Cirsium_vulgare",1
"458",12,"L.sordidum","Cirsium_vulgare",1
"459",12,"A.mellifera","Cordyline_sp",0
"460",12,"D.platura","Cordyline_sp",1
"461",12,"L.sordidum","Cordyline_sp",0
"462",12,"A.mellifera","Eucalyptus_nitens",0
"463",12,"D.platura","Eucalyptus_nitens",1
"464",12,"L.sordidum","Eucalyptus_nitens",0
"465",12,"A.mellifera","Lolium_sp",1
"466",12,"D.platura","Lolium_sp",1
"467",12,"L.sordidum","Lolium_sp",0
"468",12,"A.mellifera","Raphanus_sp",0
"469",12,"D.platura","Raphanus_sp",1
"470",12,"L.sordidum","Raphanus_sp",0
"471",13,"A.mellifera","Cirsium_vulgare",0
"472",13,"P.marginata","Cirsium_vulgare",0
"473",13,"P.pseudorudis","Cirsium_vulgare",1
"474",13,"A.mellifera","Lolium_sp",0
"475",13,"P.marginata","Lolium_sp",1
"476",13,"P.pseudorudis","Lolium_sp",0
"477",13,"A.mellifera","Taraxacum_officinale",1
"478",13,"P.marginata","Taraxacum_officinale",0
"479",13,"P.pseudorudis","Taraxacum_officinale",0
"480",14,"A.mellifera","Cirsium_vulgare",0
"481",14,"D.platura","Cirsium_vulgare",0
"482",14,"L.sordidum","Cirsium_vulgare",0
"483",14,"O.atrovirens","Cirsium_vulgare",1
"484",14,"O.varia","Cirsium_vulgare",0
"485",14,"P.marginata","Cirsium_vulgare",0
"486",14,"P.pseudorudis","Cirsium_vulgare",0
